City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
221,avera,33.19,-82.53,84.2,65,1,6.93,US,1586378704
222,puerto ayora,-0.74,-90.35,84.2,74,20,12.75,EC,1586378705
223,yulara,-25.24,130.99,59.0,47,0,6.93,AU,1586378422
224,henties bay,-22.12,14.28,60.01,92,0,1.01,NA,1586378705
225,kamenka,51.32,42.77,51.01,51,93,1.99,RU,1586378705
226,kazachinskoye,57.7,93.28,35.13,85,100,6.89,RU,1586378705
227,shache,38.42,77.24,54.7,21,78,3.31,CN,1586378705
228,awjilah,29.11,21.29,67.01,36,100,10.71,LY,1586378706
229,villa carlos paz,-31.42,-64.5,69.8,32,67,10.29,AR,1586378436
230,cherskiy,68.75,161.3,-2.92,91,51,14.9,RU,1586378640
231,verkhnyaya inta,65.98,60.31,10.47,94,63,12.01,RU,1586378706
232,bathsheba,13.22,-59.52,84.2,62,40,16.11,BB,1586378528
233,ulaangom,49.98,92.07,26.82,76,95,1.52,MN,1586378707
234,murgab,37.5,61.97,37.4,93,75,9.17,TM,1586378707
235,senno,59.53,33.92,38.23,73,77,7.23,RU,1586378707
236,kairana,29.4,77.2,69.22,30,0,6.89,IN,1586378707
237,sidi ali,36.1,0.42,59.56,67,94,6.06,DZ,1586378707
238,kochki,54.34,80.48,27.41,92,97,8.75,RU,1586378707
239,loudeac,48.18,-2.75,57.99,81,0,2.24,FR,1586378708
240,pangkalanbuun,-2.68,111.62,74.57,95,93,3.91,ID,1586378468
241,noumea,-22.28,166.46,69.8,88,19,11.14,NC,1586378526
242,aalter,51.09,3.45,64.0,76,34,8.05,BE,1586378708
243,port hedland,-20.32,118.57,80.6,83,90,6.93,AU,1586378546
244,hualmay,-11.1,-77.61,78.06,64,2,10.6,PE,1586378548
245,pangody,65.85,74.49,21.72,97,99,16.15,RU,1586378708
246,hovd,48.01,91.64,37.69,39,0,3.09,MN,1586378709
247,williston,48.15,-103.62,44.6,28,40,28.86,US,1586378709
248,sereflikochisar,38.94,33.54,48.22,57,98,6.82,TR,1586378709
249,canico,32.63,-16.85,69.8,77,20,3.36,PT,1586378709
250,kargasok,59.06,80.86,29.16,89,1,17.98,RU,1586378709
251,sokoto,13.06,5.24,89.28,24,43,4.21,NG,1586378709
252,butaritari,3.07,172.79,84.04,79,45,15.84,KI,1586378427
